feature,verdict,auc_train,auc_holdout,delta,auc_train_lo,auc_train_hi,auc_holdout_lo,auc_holdout_hi,dxy_train,dxy_holdout,iv_train,iv_holdout,woe_rho,woe_flip_mass,p_delong,unstable,n_train,n_holdout,null_rate_train,null_rate_holdout,note,p_delong_bh
V73,pass,0.6129,0.7123,0.0994,0.6016,0.6242,0.7037,0.7208,0.2717,0.3891,0.305,0.7978,0.75,0.087,5.60697728517708e-43,FALSE,100392,100393,0.3026,0.087,"",1.31092708357661e-42
V74,pass,0.6153,0.717,0.1017,0.604,0.6266,0.7085,0.7255,0.2781,0.4039,0.3365,0.8218,0.728,0.087,7.11845361371759e-45,FALSE,100392,100393,0.3026,0.087,"",1.74630044316816e-44
id_29,pass,0.5913,0.6931,0.1018,0.5807,0.602,0.6844,0.7018,,,0.1384,0.6661,1,0.0856,1.39069396733941e-47,FALSE,100392,100393,0.5953,0.7983,"",3.58842277582916e-47
M2,pass,0.5605,0.6561,0.0957,0.5526,0.5683,0.6484,0.6638,-0.096,-0.0952,0.082,0.5483,0.5,0.0852,5.50271724434479e-65,FALSE,100392,100393,0.686,0.2824,"",2.5373640626701e-64
id_28,pass,0.5895,0.693,0.1035,0.5789,0.6001,0.6843,0.7017,,,0.1289,0.6649,1,0.0851,1.87045796848742e-49,FALSE,100392,100393,0.5953,0.7983,"",5.11806630937765e-49
V30,pass,0.6462,0.6269,-0.0193,0.6382,0.6543,0.6209,0.633,-0.3032,-0.2944,0.4422,0.5677,0.25,0.0846,0.000182676154470737,FALSE,100392,100393,0.3095,0.0815,"",0.000222427200309113
V22,pass,0.5857,0.6934,0.1077,0.5747,0.5968,0.6847,0.702,0.2049,0.3598,0.1837,0.668,-0.4286,0.0824,3.88739234084518e-51,FALSE,100392,100393,0.3095,0.0815,"",1.12553568938425e-50
V23,inverted,0.5164,0.4603,-0.0561,0.5075,0.5254,0.4542,0.4665,0.0821,0.1017,0.0171,0.0622,-1,0.0822,3.97749408088737e-24,FALSE,100392,100393,0.3095,0.0815,"",7.64784576170623e-24
V24,inverted,0.5162,0.4603,-0.0559,0.5073,0.5251,0.4542,0.4665,0.1016,0.1005,0.0155,0.0622,-1,0.0822,5.57630814307252e-24,FALSE,100392,100393,0.3095,0.0815,"",1.06807748278851e-23
V19,pass,0.5249,0.4925,-0.0324,0.5144,0.5353,0.4842,0.5008,0.0427,0.0826,0.0364,0.107,-0.2,0.0819,1.99924369208736e-06,TRUE,100392,100393,0.3095,0.0815,"",2.62697456110687e-06
V28,inverted,0.5151,0.4608,-0.0543,0.5063,0.5239,0.4546,0.4669,-0.002,-0.001,0.0076,0.0635,0.2,0.0818,3.42988891995053e-23,FALSE,100392,100393,0.3095,0.0815,"",6.51940718372276e-23
V31,pass,0.5983,0.6974,0.0991,0.5872,0.6094,0.6887,0.706,0.231,0.3701,0.2118,0.6831,0.4,0.0818,2.23411409841311e-43,FALSE,100392,100393,0.3095,0.0815,"",5.29804200480824e-43
D10,pass,0.6013,0.6467,0.0454,0.5914,0.6112,0.6392,0.6542,-0.2096,-0.3402,0.1693,0.5032,0.7857,0.0815,8.45988117526342e-13,FALSE,100392,100393,0.3094,0.0815,"",1.37680419126836e-12
V13,pass,0.5624,0.6167,0.0543,0.5515,0.5734,0.6084,0.625,-0.0436,-0.2213,0.0899,0.269,0.5714,0.0815,8.25890087068258e-15,FALSE,100392,100393,0.3095,0.0815,"",1.3848258025589e-14
V14,inverted,0.5144,0.4605,-0.0538,0.5055,0.5232,0.4544,0.4667,2e-04,0,0.0046,0.0624,0.5,0.0815,1.03886057140139e-22,FALSE,100392,100393,0.3095,0.0815,"",1.95966880514354e-22
V15,pass,0.6087,0.7042,0.0955,0.5975,0.6198,0.6955,0.7129,0.2549,0.3803,0.2798,0.7667,1,0.0815,4.18095988298672e-40,FALSE,100392,100393,0.3095,0.0815,"",9.42134851460357e-40
V16,pass,0.6082,0.704,0.0958,0.5971,0.6193,0.6954,0.7127,0.256,0.3801,0.2694,0.7618,1,0.0815,1.74195483848345e-40,FALSE,100392,100393,0.3095,0.0815,"",3.97932802552642e-40
V17,pass,0.5872,0.6957,0.1085,0.5761,0.5982,0.687,0.7043,0.2115,0.367,0.178,0.6753,1,0.0815,5.39699302514532e-52,FALSE,100392,100393,0.3095,0.0815,"",1.60940271049244e-51
V18,pass,0.5875,0.6957,0.1082,0.5764,0.5985,0.687,0.7043,0.2136,0.3668,0.1787,0.6753,1,0.0815,1.08823664431206e-51,FALSE,100392,100393,0.3095,0.0815,"",3.1878932286318e-51
V20,inverted,0.5205,0.4886,-0.0319,0.5104,0.5306,0.4806,0.4966,0.0572,0.0888,0.0066,0.0989,-0.5,0.0815,1.17038358449837e-06,FALSE,100392,100393,0.3095,0.0815,"",1.5501357050005e-06
V21,pass,0.5852,0.6935,0.1083,0.5741,0.5962,0.6849,0.7022,0.2035,0.3603,0.1773,0.664,0.9,0.0815,8.02080555882395e-52,FALSE,100392,100393,0.3095,0.0815,"",2.36352731851735e-51
V27,inverted,0.5151,0.461,-0.0541,0.5063,0.524,0.4549,0.4672,-0.0019,-0.001,0.0078,0.0645,0.5,0.0815,5.01024198324651e-23,FALSE,100392,100393,0.3095,0.0815,"",9.48707417359986e-23
V29,pass,0.6449,0.6271,-0.0178,0.6368,0.653,0.621,0.6332,-0.3002,-0.2989,0.4364,0.5828,0.7714,0.0815,0.00058423892359407,FALSE,100392,100393,0.3095,0.0815,"",0.000694393756443549
V32,pass,0.5977,0.6972,0.0995,0.5866,0.6088,0.6886,0.7058,0.2323,0.3697,0.203,0.6782,1,0.0815,6.46249182138283e-44,FALSE,100392,100393,0.3095,0.0815,"",1.5472696764657e-43
V33,pass,0.6087,0.7118,0.103,0.5976,0.6199,0.7031,0.7204,0.2558,0.3992,0.2908,0.7988,1,0.0815,1.52610004769745e-46,FALSE,100392,100393,0.3095,0.0815,"",3.85785697336717e-46
V34,pass,0.6079,0.7106,0.1026,0.5968,0.6191,0.702,0.7191,0.2565,0.3995,0.2684,0.7681,1,0.0815,1.30593411484301e-46,FALSE,100392,100393,0.3095,0.0815,"",3.31813872036643e-46
addr1,pass,0.6529,0.6515,-0.0014,0.6415,0.6644,0.6411,0.662,-0.035,0.0996,0.3905,0.6362,0.0636,0.0814,0.858057843492901,FALSE,100392,100393,0.0908,0.1037,"",0.861517754152146
id_16,pass,0.5826,0.602,0.0194,0.572,0.5933,0.5917,0.6123,,,0.1347,0.5723,0.5,0.0768,0.0103001911592265,FALSE,100392,100393,0.6179,0.8161,"",0.0113988782162106
id_15,pass,0.598,0.6932,0.0953,0.587,0.6089,0.6845,0.7019,,,0.1769,0.6724,0.8,0.0762,7.21177696335409e-41,FALSE,100392,100393,0.5953,0.7982,"",1.65505296209693e-40
id_19,pass,0.6344,0.6391,0.0047,0.6236,0.6453,0.6289,0.6493,-0.1673,-0.1418,0.3321,0.6699,0.6909,0.0752,0.540308620865585,FALSE,100392,100393,0.6006,0.803,"",0.551380518834142
P_emaildomain_freq,pass,0.5881,0.5489,-0.0392,0.5784,0.5977,0.54,0.5577,0.1624,0.0695,0.1282,0.0486,0.8286,0.0684,4.82017767451241e-09,TRUE,100392,100393,0.1538,0.179,"",7.03943836336417e-09
device_txn_count_24h,pass,0.573,0.5434,-0.0296,0.5628,0.5832,0.5332,0.5536,-0.1375,-0.1327,0.1062,0.4455,0.1152,0.0649,5.81825038421249e-05,TRUE,100392,100393,0.635,0.8332,"",7.33541440845018e-05
D3,pass,0.6352,0.6292,-0.0061,0.6257,0.6447,0.6214,0.6369,-0.4061,-0.3584,0.2905,0.3626,0.9667,0.0646,0.331463882302315,FALSE,100392,100393,0.5661,0.3809,"",0.344611718969839
addr1_freq,pass,0.6752,0.6682,-0.0071,0.6639,0.6865,0.6576,0.6787,-0.1056,-0.0029,0.4638,0.61,0.7,0.0586,0.371193238035297,FALSE,100392,100393,0.0917,0.1037,"",0.383515005272984
V319,pass,0.5134,0.4937,-0.0197,0.5088,0.518,0.4895,0.4979,0.0153,-0.0014,0.0202,0.0147,-0.3412,0.0584,5.22982563329684e-10,FALSE,100392,100393,1e-04,0,"",7.91627101939765e-10
