column,pooled_auc,dominant_segment,dominant_auc,measurable_in_dominant,segments_measurable,segments_total,min_segment_auc,max_segment_auc,gap_dominant,cmh_or,cmh_p,bd_p,strata_used,note,cmh_p_bh,bd_p_bh,segment_artefact,heterogeneous
id_32,0.635604420263933,W,,FALSE,3,5,0.564061976343475,0.812263754724906,,3.08177391954383,2.6009558281662e-41,5.55111512312578e-16,3,"",7.8327635285005e-41,4.2797306917002e-15,TRUE,TRUE
id_33,0.579495449723453,W,,FALSE,3,5,0.683327477743234,0.720921575853399,,4.08535928174773,8.21899810953836e-56,0.00679072571829675,3,"",2.83339145355138e-55,0.0138716533903669,TRUE,TRUE
id_34,0.561622881212504,W,,FALSE,3,5,0.505611423040974,0.676791895260116,,2.43691203609573,9.38148807778356e-23,3.08258357617497e-07,3,"",2.29714941717691e-22,1.22789579117636e-06,TRUE,TRUE
id_35,0.700057257923584,W,,FALSE,3,5,0.501618671818173,0.520633152062804,,1.56153475917067,0.0547783447951573,0.570875163477262,3,"",0.0670650763379963,0.695987142067331,TRUE,FALSE
id_36,0.519519501214728,W,,FALSE,3,5,0.517230424303142,0.572518691268263,,2.32529283688994,3.6374690843671e-08,0.0239228604908147,3,"",6.48310816397401e-08,0.0423523233874423,FALSE,TRUE
id_37,0.508337554125291,W,,FALSE,4,5,0.506122690894352,0.61264566381813,,,,,0,fewer than two usable strata,,,FALSE,FALSE
id_38,0.577703813681492,W,,FALSE,4,5,0.500263797333623,0.554356625914871,,0.932812068821851,0.640785122097804,0.00339534511136042,4,"",0.666213103133432,0.00731069803256882,TRUE,TRUE
DeviceType,0.591983199566155,W,,FALSE,4,5,0.539,0.70960471452341,,,,,0,fewer than two usable strata,,,TRUE,FALSE
DeviceInfo,0.595744606361175,W,,FALSE,4,5,0.557398226270374,0.694773754400981,,4.01317643987313,1.47229855360048e-25,0.0487114806345715,4,"",3.74507010721675e-25,0.0819862244483281,TRUE,FALSE
device_txn_count_24h,0.568750381459025,W,,FALSE,4,5,0.501592047091592,0.653554759441239,,1.64738457360031,1.45565352722089e-14,0.124663328710708,4,"",3.07565503332156e-14,0.185059227092293,TRUE,FALSE
client_c7_mean_prior,0.538136930207594,W,,FALSE,1,5,0.674484813898928,0.674484813898928,,,,,0,fewer than two usable strata,,,FALSE,FALSE
client_m1_mean_prior,,W,,FALSE,0,5,,,,,,,0,too few usable rows,,,FALSE,FALSE
ProductCD_is_W,0.581197162483228,W,,FALSE,0,5,,,,,,,0,fewer than two usable strata,,,TRUE,FALSE
ProductCD_is_C,0.641165196158721,W,,FALSE,0,5,,,,,,,0,fewer than two usable strata,,,TRUE,FALSE
ProductCD_is_R,0.540941717456278,W,,FALSE,0,5,,,,,,,0,fewer than two usable strata,,,FALSE,FALSE
ProductCD_is_H,0.518248969431306,W,,FALSE,0,5,,,,,,,0,fewer than two usable strata,,,FALSE,FALSE
ProductCD_is_S,0.500777346787909,W,,FALSE,0,5,,,,,,,0,fewer than two usable strata,,,FALSE,FALSE
card4_is_american_express,0.509498090296752,W,,FALSE,3,5,0.501677333396779,0.542229852903157,,1.20704601640468,0.265368707138821,0.00129567233168537,3,"",0.297122227651158,0.0030064629832311,FALSE,TRUE
card6_is_charge_card,0.500015334444229,W,,FALSE,1,5,0.500143815915628,0.500143815915628,,,,,1,fewer than two usable strata,,,FALSE,FALSE
DeviceType_is_desktop,0.578413047030423,W,,FALSE,4,5,0.515532192219563,0.698763615359225,,,,,0,fewer than two usable strata,,,TRUE,FALSE
